Designator,Footprint,Quantity,Value,LCSC Part #
AN1,Pins_1x06_P2.54mm_Horizontal_TH_CroppedSilk,1,Pins_01x06_RightAngle_P2.54mm_TH,
"C1, C19, C20, C41, C47, C48, C49",C_0603,7,2.2uF_0603_25V,C57895
"C10, C11, C8, C9",C_0402,4,180pF_0402_25V,C106999
"C100, C101, C104, C105, C107, C108, C56, C57, C58, C65, C66, C72, C75, C77, C78, C85, C86, C96, C97",C_0402,19,100nF_0402_50V,C307331
"C102, C103, C106, C12, C2, C21, C30, C40, C42, C43, C61, C64, C67, C68, C69, C82, C87, C92, C93, C94, C95, C98, C99",C_0402,23,100nF_0402_16V,C1525
"C109, C31, C33, C45, C46, C50, C51, C52, C53, C54, C55, C59, C60, C62, C63, C70, C73, C79",C_0402,18,1uF_0402_25V,C52923
"C13, C14",C_0402,2,6.8pF_0402_25V,C1576
"C15, C16, C17, C18, C24, C25, C26, C27, C28, C34, C35, C36, C37, C38, C39",C_0402,15,10nF_0402_16V,C15195
"C22, C23",C_0402,2,220pF_0402_50V,C327000
"C29, C32",C_0402,2,2.2uF_0402_6.3V,C12530
"C3, C44, C81, C83",C_0603,4,10uF_0603_10V,C19702
C4,C_0805,1,22uF_0805_10V,C45783
C5,C_0603,1,0.1uF_0603_16V,C14663
"C6, C7",C_0402,2,820pF_0402_10v,C565563
"C71, C74, C80",C_0402,3,3.3nF_0402_16V,C26404
"C76, C84",C_0402,2,4.7uF_0402_6.3V,C23733
"C88, C89, C90, C91",C_0603,4,22uF_0603_6.3V,C59461
"D1, D10, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",SOT23-3_PO132,24,BAT54S,C83574
D11,DFN-1006-2,1,BAT54LP,C134410
J1,Pins_2x04_P2.54mm_Horizontal_CroppedSilk,1,Pins_02x04_RightAngle_P2.54mm_TH,
J2,Pins_2x05_1.27mm_SMD,1,Pins_02x05_P1.27mm_SMT,
J3,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro_10118194-0011LF,
"JA1, JB1, JC1",PinHeader_2x05_P2.54mm_Vertical_SMD,3,Pins_02x05_P2.54mm_SMT,
JD1,PinHeader_2x06_P2.54mm_Vertical_SMD,1,Conn_02x06_Odd_Even,
"L1, L3",1008,2,1uH_3.2A_2520,C435392
L2,L_Wuerth_MAPI-2510,1,4.7uH_1.7A_2510,C2047781
Q1,SOT23-3_PO132,1,MMBT3904,C20526
"R1, R2",R_0402,2,4.7k_0402,C105871
"R10, R11, R13, R14, R30, R35, R36, R37, R38, R41, R46, R47, R48, R49, R50, R51, R6, R61, R64, R66, R67, R69, R7, R72, R74, R8, R9",R_0402,27,10k_0402,C60490
"R12, R15, R16, R17",R_0402,4,24k_0402,C138026
"R18, R19, R26, R27, R39, R40, R70, R71",R_0402,8,1k_0402,C106235
"R20, R21, R22, R23, R24, R25",R_0402,6,2k_0402,C60488
"R28, R29",R_0402,2,1M_0402,C138033
R3,R_0402,1,3k_0402,C137987
"R31, R32, R60, R73",R_0402,4,100k_0402,C60491
"R33, R34",R_0402,2,14k_0402,C327372
R4,R_0402,1,430k_0402,C163463
"R42, R43, R44, R45, R53, R54, R55, R56, R57, R58",R_0402,10,68Ω_0402,C163455
R5,R_0402,1,620k_0402,C137952
"R52, R59",R_0402,2,240Ω_0402,C114755
R62,R_0402,1,20k_0402,C93942
R63,R_0402,1,31.6k_0402,C276265
R65,R_0402,1,6.8k_0402,C93940
R68,R_0402,1,100Ω_0402,C106232
"S1, S2, S3",Button_Tact_PTS526,3,SW_Push_PTS526 SM15 SMTR2 LFS,
U1,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCM3060PW,
"U10, U11, U12, U4, U6, U7, U8, U9",TSSOP-8_4.4x3mm_Pitch0.65mm,8,NJM2068,
U13,SOT23-3_PO132,1,NCP51460SN33,C233715 
U14,FBGA-96_Layout2x3x16_Body8x14_P0.8mm,1,DDR3L-RAM-4Gb_MT41K256M16TW,C253882
"U15, U16, U17",SOT-563,3,AP6230xZ6,
"U18, U19",SOT-23-5,2,TAR5S33,C2762700
U2,TFBGA-257_10x10mm_perP0.5_cntrP0.65,1,STM32MP15xxAD,C1236719
U20,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,AP2411SN,C2149815
U3,SOT-23-6,1,USBLC6-2SC6,C2827654
U5,SOIC-8_5.28x4.9mm_Pitch1.27mm,1,NORFLASH_W25Q128JV,C113767
V1,SOT23-3_PO132,1,AP2120N-5.0TRG1,
X1,Crystal_2.0x1.6mm_4pin,1,24MHz_8pF_2x1.6mm,C1986107
