Designator,Mid X,Mid Y,Rotation,Layer
AN1,42.535,34.89,0.0,top
C1,15.52,3.05,270.0,top
C10,12.69,18.6,90.0,bottom
C100,23.11,18.21,180.0,bottom
C101,4.99,1.77,180.0,bottom
C102,25.18,58.023221,270.0,top
C103,14.81344,60.526821,270.0,bottom
C104,26.8,27.18,0.0,bottom
C105,8.18,22.12,0.0,bottom
C106,14.17,53.753221,90.0,top
C107,23.97,27.34,180.0,bottom
C108,6.225,22.09,180.0,bottom
C109,12.60346,52.403141,0.0,bottom
C11,10.7,22.27,0.0,bottom
C12,30.335,42.66,0.0,top
C13,14.96,35.42,270.0,top
C14,18.56346,35.753141,90.0,top
C15,10.18,27.6,90.0,top
C16,18.18,23.75,270.0,bottom
C17,15.91,16.12,180.0,bottom
C18,12.98,27.06,90.0,bottom
C19,10.910696,10.22024,0.0,bottom
C2,24.26,10.68,90.0,top
C20,9.7,1.4,0.0,bottom
C21,11.0,35.52,270.0,bottom
C22,13.02,3.92,90.0,bottom
C23,10.930696,12.03024,90.0,bottom
C24,19.01,34.29,0.0,top
C25,27.79,2.51,270.0,bottom
C26,27.9,12.47,90.0,bottom
C27,39.12,5.465,270.0,bottom
C28,38.07,12.805,90.0,bottom
C29,31.85,44.6,180.0,top
C3,20.95,2.43,270.0,top
C30,19.57594,39.112081,180.0,bottom
C31,19.58356,40.128081,0.0,bottom
C32,23.45,42.443221,90.0,bottom
C33,20.32,37.61,90.0,bottom
C34,19.17,18.39,0.0,bottom
C35,30.45,17.605,90.0,bottom
C36,26.36,22.38,180.0,bottom
C37,30.905,26.39,90.0,bottom
C38,34.99,24.65,90.0,bottom
C39,35.52,14.735,270.0,bottom
C4,13.52,11.43,270.0,bottom
C40,25.94,46.397221,180.0,top
C41,20.16,31.14,270.0,top
C42,14.16,56.283221,90.0,top
C43,13.9,56.533221,90.0,bottom
C44,22.688,29.739,180.0,top
C45,5.3,39.255,90.0,bottom
C46,6.748,39.285,270.0,bottom
C47,10.812,53.141,90.0,bottom
C48,32.277,52.928,90.0,bottom
C49,36.545,57.806,180.0,bottom
C5,15.27,11.4,270.0,bottom
C50,19.76644,41.481901,0.0,bottom
C51,23.49,39.593221,90.0,bottom
C52,21.206,45.325221,0.0,bottom
C53,19.79184,42.751901,0.0,bottom
C54,23.969,41.013221,0.0,bottom
C55,26.22,60.473221,270.0,top
C56,9.832,41.96,180.0,bottom
C57,31.53,7.79,270.0,bottom
C58,5.630696,9.79024,0.0,bottom
C59,17.87682,41.492061,0.0,bottom
C6,6.25,17.2,0.0,bottom
C60,21.826,42.131221,0.0,bottom
C61,14.09208,51.514901,270.0,bottom
C62,19.82218,44.077781,0.0,bottom
C63,17.67,39.363221,180.0,bottom
C64,26.20346,62.468141,90.0,top
C65,26.51,5.74,90.0,bottom
C66,6.3,14.71,180.0,bottom
C67,5.572,50.769,90.0,bottom
C68,28.136,51.79,90.0,bottom
C69,34.265,62.625,270.0,bottom
C7,10.8,15.7,270.0,bottom
C70,17.9097,44.113341,0.0,bottom
C71,16.00216,44.623881,0.0,bottom
C72,2.31,36.38,180.0,bottom
C73,17.90956,42.756981,0.0,bottom
C74,21.16,46.763221,180.0,bottom
C75,11.39,41.673,90.0,bottom
C76,26.01346,41.953141,0.0,bottom
C77,39.26,9.7,270.0,bottom
C78,31.52,18.69,90.0,bottom
C79,10.524,47.573,180.0,bottom
C8,2.54,19.49,90.0,bottom
C80,19.037,45.068221,180.0,bottom
C81,22.35,64.853221,180.0,top
C82,14.16,58.203221,270.0,top
C83,16.99,64.863221,180.0,top
C84,2.84,41.21,0.0,bottom
C85,34.2,5.95,90.0,bottom
C86,31.51,20.71,270.0,bottom
